flight_id,flight_date,origin,dest,carrier,sched_dep_hour,dep_delay_min,arr_delay_min,distance_miles,cancelled
FL0054,2024-07-11,EEE,AAA,MN,4,-1.0,-10.0,590,0
FL0055,2024-07-11,AAA,BBB,ZX,7,4.0,-6.0,410,0
FL0056,2024-07-12,CCC,EEE,ZX,20,28.0,21.0,390,0
FL0057,2024-07-12,DDD,BBB,QF,23,-8.0,-16.0,420,0
FL0058,2024-07-12,EEE,DDD,MN,2,-3.0,-12.0,380,0
FL0059,2024-07-12,AAA,BBB,ZX,5,2.0,-8.0,410,0
FL0060,2024-07-12,BBB,CCC,QF,8,7.0,12.0,320,0
FL0061,2024-07-13,DDD,AAA,QF,21,-10.0,-18.0,490,0
FL0062,2024-07-13,EEE,CCC,MN,0,-5.0,-14.0,450,0
FL0063,2024-07-13,AAA,EEE,ZX,3,0.0,-10.0,620,0
FL0064,2024-07-13,BBB,CCC,QF,6,5.0,10.0,320,0
FL0065,2024-07-13,CCC,DDD,MN,9,10.0,14.0,350,0
FL0066,2024-07-14,EEE,BBB,MN,22,-7.0,-16.0,520,0
FL0067,2024-07-14,AAA,DDD,ZX,1,-2.0,-12.0,550,0
FL0068,2024-07-14,BBB,AAA,QF,4,3.0,8.0,320,0
FL0069,2024-07-14,CCC,DDD,MN,7,8.0,12.0,350,0
FL0070,2024-07-14,DDD,EEE,ZX,10,13.0,16.0,380,0
FL0071,2024-07-15,AAA,CCC,ZX,23,-4.0,-14.0,480,0
FL0072,2024-07-15,BBB,EEE,QF,2,1.0,6.0,460,0
FL0073,2024-07-15,CCC,BBB,MN,5,6.0,10.0,350,0
FL0074,2024-07-15,DDD,EEE,ZX,8,11.0,14.0,380,0
FL0075,2024-07-15,EEE,AAA,QF,11,16.0,18.0,620,0
FL0076,2024-07-16,BBB,DDD,QF,0,-1.0,4.0,390,0
FL0077,2024-07-16,CCC,AAA,MN,3,4.0,8.0,420,0
FL0078,2024-07-16,DDD,CCC,ZX,6,9.0,12.0,380,0
FL0079,2024-07-16,EEE,AAA,QF,9,14.0,16.0,620,0
FL0080,2024-07-16,AAA,BBB,MN,12,19.0,20.0,320,0
FL0081,2024-07-17,CCC,EEE,MN,1,,,420,1
FL0082,2024-07-17,DDD,BBB,ZX,4,,,450,1
FL0083,2024-07-17,EEE,DDD,QF,7,,,410,1
FL0084,2024-07-17,AAA,BBB,MN,10,,,320,1
FL0085,2024-07-17,BBB,CCC,ZX,13,,,350,1
FL0086,2024-07-18,DDD,AAA,ZX,2,5.0,8.0,520,0
FL0087,2024-07-18,EEE,CCC,QF,5,10.0,12.0,480,0
FL0088,2024-07-18,AAA,EEE,MN,8,15.0,16.0,530,0
FL0089,2024-07-18,BBB,CCC,ZX,11,20.0,20.0,350,0
FL0090,2024-07-18,CCC,DDD,QF,14,25.0,24.0,380,0
FL0091,2024-07-19,EEE,BBB,QF,3,8.0,10.0,550,0
FL0092,2024-07-19,AAA,DDD,MN,6,13.0,14.0,460,0
FL0093,2024-07-19,BBB,AAA,ZX,9,18.0,18.0,350,0
FL0094,2024-07-19,CCC,DDD,QF,12,23.0,22.0,380,0
FL0095,2024-07-19,DDD,EEE,MN,15,28.0,26.0,410,0
FL0096,2024-07-20,AAA,CCC,MN,4,11.0,12.0,390,0
FL0097,2024-07-20,BBB,EEE,ZX,7,16.0,16.0,490,0
FL0098,2024-07-20,CCC,BBB,QF,10,21.0,20.0,380,0
FL0099,2024-07-20,DDD,EEE,MN,13,26.0,24.0,410,0
FL0100,2024-07-20,EEE,AAA,ZX,16,-10.0,-13.0,530,0
FL0101,2024-07-21,BBB,DDD,ZX,5,14.0,14.0,420,0
FL0102,2024-07-21,CCC,AAA,QF,8,19.0,18.0,450,0
FL0103,2024-07-21,DDD,CCC,MN,11,24.0,22.0,410,0
FL0104,2024-07-21,EEE,AAA,ZX,14,29.0,26.0,530,0
FL0105,2024-07-21,AAA,BBB,QF,17,-7.0,-11.0,350,0
FL0106,2024-07-22,CCC,EEE,QF,6,17.0,16.0,450,0
FL0107,2024-07-22,DDD,BBB,MN,9,22.0,20.0,480,0
FL0108,2024-07-22,EEE,DDD,ZX,12,27.0,24.0,320,0
FL0109,2024-07-22,AAA,BBB,QF,15,-9.0,-13.0,350,0
FL0110,2024-07-22,BBB,CCC,MN,18,-4.0,-9.0,380,0
FL0111,2024-07-23,DDD,AAA,MN,7,20.0,18.0,550,0
FL0112,2024-07-23,EEE,CCC,ZX,10,25.0,22.0,390,0
FL0113,2024-07-23,AAA,EEE,QF,13,30.0,26.0,560,0
FL0114,2024-07-23,BBB,CCC,MN,16,-6.0,-11.0,380,0
FL0115,2024-07-23,CCC,DDD,ZX,19,-1.0,-7.0,410,0
FL0116,2024-07-24,EEE,BBB,ZX,8,23.0,20.0,460,0
FL0117,2024-07-24,AAA,DDD,QF,11,28.0,24.0,490,0
FL0118,2024-07-24,BBB,AAA,MN,14,-8.0,-13.0,380,0
FL0119,2024-07-24,CCC,DDD,ZX,17,-3.0,-9.0,410,0
FL0120,2024-07-24,DDD,EEE,QF,20,2.0,-5.0,320,0
FL0121,2024-07-25,AAA,CCC,QF,9,26.0,22.0,420,0
FL0122,2024-07-25,BBB,EEE,MN,12,-10.0,-15.0,520,0
FL0123,2024-07-25,CCC,BBB,ZX,15,-5.0,-11.0,410,0
FL0124,2024-07-25,DDD,EEE,QF,18,0.0,-7.0,320,0
FL0125,2024-07-25,EEE,AAA,MN,21,5.0,-3.0,560,0
FL0126,2024-07-26,BBB,DDD,MN,10,29.0,24.0,450,0
FL0127,2024-07-26,CCC,AAA,ZX,13,-7.0,-13.0,480,0
FL0128,2024-07-26,DDD,CCC,QF,16,-2.0,-9.0,320,0
FL0129,2024-07-26,EEE,AAA,MN,19,3.0,-5.0,560,0
FL0130,2024-07-26,AAA,BBB,ZX,22,8.0,-1.0,380,0
FL0131,2024-07-27,CCC,EEE,ZX,11,-9.0,-15.0,480,0
FL0132,2024-07-27,DDD,BBB,QF,14,-4.0,-11.0,390,0
FL0133,2024-07-27,EEE,DDD,MN,17,1.0,-7.0,350,0
FL0134,2024-07-27,AAA,BBB,ZX,20,6.0,-3.0,380,0
FL0135,2024-07-27,BBB,CCC,QF,23,11.0,1.0,410,0
FL0136,2024-07-28,DDD,AAA,QF,12,-6.0,-13.0,460,0
FL0137,2024-07-28,EEE,CCC,MN,15,-1.0,-9.0,420,0
FL0138,2024-07-28,AAA,EEE,ZX,18,4.0,-5.0,590,0
FL0139,2024-07-28,BBB,CCC,QF,21,9.0,-1.0,410,0
FL0140,2024-07-28,CCC,DDD,MN,0,14.0,19.0,320,0
FL0141,2024-07-29,EEE,BBB,MN,13,-3.0,-11.0,490,0
FL0142,2024-07-29,AAA,DDD,ZX,16,2.0,-7.0,520,0
FL0143,2024-07-29,BBB,AAA,QF,19,7.0,-3.0,410,0
FL0144,2024-07-29,CCC,DDD,MN,22,12.0,17.0,320,0
FL0145,2024-07-29,DDD,EEE,ZX,1,17.0,21.0,350,0
FL0146,2024-07-30,AAA,CCC,ZX,14,0.0,-9.0,450,0
FL0147,2024-07-30,BBB,EEE,QF,17,5.0,-5.0,550,0
FL0148,2024-07-30,CCC,BBB,MN,20,10.0,15.0,320,0
FL0149,2024-07-30,DDD,EEE,ZX,23,15.0,19.0,350,0
FL0150,2024-07-30,EEE,AAA,QF,2,20.0,23.0,590,0
