customer_id,month,plan_id,monthly_fee,included_minutes,included_gb,included_texts,voice_minutes,data_gb,texts,weekend_data_gb,weekday_data_gb,overage_charge,discount,bill_amount,due_date,paid_date
C10,2024-01-01,P1,30,300,5,500,393,28.5,629,0.5,28.0,240.94,0,270.94,2024-01-21,2024-01-26
C10,2024-02-01,P1,30,300,5,500,416,30.0,648,1.5,28.5,257.28,5,282.28,2024-02-21,2024-02-24
C10,2024-03-01,P1,30,300,5,500,439,31.5,667,2.5,29.0,273.62,0,303.62,2024-03-21,2024-03-22
C10,2024-04-01,P1,30,300,5,500,462,3.0,686,3.5,-0.5,9.96,0,39.96,2024-04-21,2024-04-20
C11,2024-01-01,P2,55,700,20,2000,410,31.0,660,0.9,30.1,110.0,5,160.0,2024-01-21,2024-01-27
C11,2024-02-01,P2,55,700,20,2000,433,2.5,679,1.9,0.6,0.0,0,55.0,2024-02-21,2024-02-26
C11,2024-03-01,P2,55,700,20,2000,456,4.0,698,2.9,1.1,0.0,0,55.0,2024-03-21,2024-03-25
C11,2024-04-01,P2,55,700,20,2000,479,5.5,717,3.9,1.6,0.0,0,55.0,2024-04-21,2024-04-24
C12,2024-01-01,P3,80,1200,50,5000,427,3.5,691,1.3,2.2,0.0,0,80.0,2024-01-21,2024-01-16
C12,2024-02-01,P3,80,1200,50,5000,450,5.0,710,2.3,2.7,0.0,0,80.0,2024-02-21,2024-02-16
C12,2024-03-01,P3,80,1200,50,5000,473,6.5,729,3.3,3.2,0.0,0,80.0,2024-03-21,2024-03-16
C12,2024-04-01,P3,80,1200,50,5000,496,8.0,748,4.3,3.7,0.0,0,80.0,2024-04-21,2024-04-16
C13,2024-01-01,P1,30,300,5,500,444,6.0,722,1.7,4.3,19.42,0,49.42,2024-01-21,2024-01-17
C13,2024-02-01,P1,30,300,5,500,467,7.5,741,2.7,4.8,35.76,0,65.75999999999999,2024-02-21,2024-02-18
C13,2024-03-01,P1,30,300,5,500,490,9.0,760,3.7,5.3,52.1,0,82.1,2024-03-21,2024-03-19
C13,2024-04-01,P1,30,300,5,500,513,10.5,779,4.7,5.8,68.44,0,98.44,2024-04-21,2024-04-20
C14,2024-01-01,P2,55,700,20,2000,461,8.5,753,2.1,6.4,0.0,0,55.0,2024-01-21,2024-01-18
C14,2024-02-01,P2,55,700,20,2000,484,10.0,772,3.1,6.9,0.0,0,55.0,2024-02-21,2024-02-20
C14,2024-03-01,P2,55,700,20,2000,507,11.5,791,4.1,7.4,0.0,0,55.0,2024-03-21,2024-03-22
C14,2024-04-01,P2,55,700,20,2000,530,13.0,810,5.1,7.9,0.0,5,50.0,2024-04-21,2024-04-24
