loan_id,member_id,book_id,loan_date,due_date,return_date
L0066,M14,B011,2024-01-26,2024-02-09,2024-02-08
L0067,M01,B024,2024-01-27,2024-02-10,2024-02-10
L0068,M07,B006,2024-01-27,2024-02-10,2024-02-09
L0069,M13,B012,2024-01-27,2024-02-10,2024-02-10
L0070,M06,B007,2024-01-28,2024-02-11,2024-02-11
L0071,M12,B013,2024-01-28,2024-02-11,2024-02-12
L0072,M18,B019,2024-01-28,2024-02-11,2024-02-13
L0073,M05,B008,2024-01-29,2024-02-12,2024-02-13
L0074,M11,B014,2024-01-29,2024-02-12,2024-02-14
L0075,M17,B020,2024-01-29,2024-02-12,2024-02-15
L0076,M04,B009,2024-01-30,2024-02-13,2024-02-15
L0077,M10,B015,2024-01-30,2024-02-13,2024-02-16
L0078,M16,B021,2024-01-30,2024-02-13,2024-02-17
L0079,M03,B010,2024-01-31,2024-02-14,2024-02-17
L0080,M09,B016,2024-01-31,2024-02-14,2024-02-18
L0081,M15,B022,2024-01-31,2024-02-14,2024-02-19
L0082,M02,B011,2024-02-01,2024-02-15,2024-02-19
L0083,M08,B017,2024-02-01,2024-02-15,2024-02-20
L0084,M14,B023,2024-02-01,2024-02-15,2024-02-21
L0085,M01,B012,2024-02-02,2024-02-16,2024-02-21
L0086,M07,B018,2024-02-02,2024-02-16,2024-02-22
L0087,M13,B024,2024-02-02,2024-02-16,2024-02-12
L0088,M06,B019,2024-02-03,2024-02-17,2024-02-13
L0089,M12,B001,2024-02-03,2024-02-17,2024-02-23
L0090,M18,B007,2024-02-03,2024-02-17,2024-02-13
L0091,M05,B020,2024-02-04,2024-02-18,2024-02-15
L0092,M11,B002,2024-02-04,2024-02-18,2024-02-14
L0093,M17,B008,2024-02-04,2024-02-18,2024-02-15
L0094,M04,B021,2024-02-05,2024-02-19,2024-02-17
L0095,M10,B003,2024-02-05,2024-02-19,2024-02-16
L0096,M16,B009,2024-02-05,2024-02-19,2024-02-17
L0097,M03,B022,2024-02-06,2024-02-20,2024-02-19
L0098,M09,B004,2024-02-06,2024-02-20,2024-02-18
L0099,M15,B010,2024-02-06,2024-02-20,2024-02-19
L0100,M02,B023,2024-02-07,2024-02-21,2024-02-21
L0101,M08,B005,2024-02-07,2024-02-21,2024-02-20
L0102,M14,B011,2024-02-07,2024-02-21,2024-02-21
L0103,M01,B024,2024-02-08,2024-02-22,2024-02-23
L0104,M07,B006,2024-02-08,2024-02-22,2024-02-22
L0105,M13,B012,2024-02-08,2024-02-22,2024-02-23
L0106,M06,B007,2024-02-09,2024-02-23,2024-02-24
L0107,M12,B013,2024-02-09,2024-02-23,2024-02-25
L0108,M18,B019,2024-02-09,2024-02-23,2024-02-26
L0109,M05,B008,2024-02-10,2024-02-24,2024-02-26
L0110,M11,B014,2024-02-10,2024-02-24,2024-02-27
L0111,M17,B020,2024-02-10,2024-02-24,2024-02-28
L0112,M04,B009,2024-02-11,2024-02-25,2024-02-28
L0113,M10,B015,2024-02-11,2024-02-25,2024-02-29
L0114,M16,B021,2024-02-11,2024-02-25,2024-03-01
L0115,M03,B010,2024-02-12,2024-02-26,2024-03-01
L0116,M09,B016,2024-02-12,2024-02-26,2024-03-02
L0117,M15,B022,2024-02-12,2024-02-26,2024-03-03
L0118,M02,B011,2024-02-13,2024-02-27,2024-03-03
L0119,M08,B017,2024-02-13,2024-02-27,2024-03-04
L0120,M14,B023,2024-02-13,2024-02-27,2024-02-23
