property_id,sqft,bedrooms,bathrooms,year_built,lot_acres,garage_spaces,neighborhood,renovated,distance_miles,months_listed,sale_price
P055,3163,4,1.5,2006,0.37,1,Riverside,0,5.1,1.9,462200
P056,2861,5,3.0,1967,0.35,2,Lakeside,0,4.9,0.8,478000
P057,1041,2,1.0,1999,0.48,1,Riverside,1,4.3,0.7,247800
P058,2841,5,3.0,2008,0.37,1,Oakwood,0,9.4,0.8,463200
P059,3624,6,3.5,2003,0.63,1,Hilltop,1,11.6,0.9,602700
P060,3412,5,2.5,1978,1.06,1,Hilltop,0,7.9,2.5,574400
P061,3745,6,3.5,2001,0.23,2,Oakwood,0,3.9,3.2,647900
P062,2163,4,2.0,2000,0.18,2,Hilltop,0,11.6,2.0,403000
P063,2939,5,3.5,1996,0.27,1,Lakeside,1,4.2,4.0,521100
P064,2190,4,2.5,1965,0.2,0,Oakwood,0,8.3,10.0,306700
P065,3803,6,4.0,2011,0.39,0,Hilltop,0,7.7,3.9,653200
P066,2278,5,3.0,1985,0.83,0,Hilltop,1,11.9,2.9,452600
P067,3356,6,4.0,2023,0.14,3,Downtown,0,5.3,2.0,592300
P068,1575,3,2.0,1993,0.13,0,Oakwood,0,8.3,1.7,226100
P069,834,1,1.0,2018,0.19,0,Oakwood,0,7.9,0.7,191800
P070,3053,4,2.0,2015,0.49,1,Lakeside,1,5.5,1.5,488500
P071,3952,6,3.5,2018,0.37,2,Lakeside,0,7.2,5.3,675600
P072,2755,5,3.0,2004,0.13,3,Hilltop,1,10.9,3.8,486200
P073,2385,3,1.0,1965,0.85,2,Riverside,1,7.0,1.0,435300
P074,3873,6,4.0,1996,0.57,2,Downtown,0,0.6,1.8,685800
P075,1821,4,2.0,2016,0.11,2,Downtown,0,2.0,3.9,394300
P076,3413,5,3.0,1992,0.42,0,Riverside,0,4.7,0.6,529300
P077,1929,3,1.5,2012,0.54,3,Oakwood,0,6.4,1.5,405700
P078,2300,4,2.5,1981,0.24,2,Lakeside,1,5.9,4.3,485400
P079,1502,3,1.5,1980,0.12,2,Riverside,1,4.1,1.5,286000
P080,3249,6,3.5,1965,0.12,2,Lakeside,0,7.8,0.7,530900
P081,3577,5,3.0,1965,0.13,2,Riverside,0,4.2,2.1,561700
P082,2379,4,2.0,2014,0.65,2,Oakwood,0,8.5,4.5,412500
P083,961,2,1.0,2007,0.82,3,Oakwood,0,7.1,2.3,229000
P084,1001,2,1.5,1963,0.14,3,Downtown,0,1.9,1.0,222800
P085,2781,5,3.0,1989,0.18,2,Lakeside,0,5.2,1.5,529300
P086,1795,3,2.0,1970,0.15,2,Oakwood,0,6.1,1.7,323700
P087,3117,4,2.0,2021,0.16,0,Lakeside,0,6.7,2.2,479900
P088,1615,2,1.0,2021,0.65,2,Downtown,0,1.1,3.3,276900
P089,1255,3,1.5,1989,0.22,0,Lakeside,0,6.4,0.7,202300
P090,2075,4,2.5,1990,0.21,2,Riverside,0,4.9,4.9,392000
P091,1816,3,1.5,1983,0.18,3,Lakeside,1,4.0,0.5,320200
P092,3143,5,3.5,2014,0.38,2,Hilltop,0,11.6,1.4,583700
P093,3567,6,3.5,1968,0.24,1,Oakwood,1,9.1,0.6,540700
P094,1137,2,1.0,2014,0.51,1,Oakwood,1,7.1,1.5,248800
P095,1678,3,1.5,1962,0.17,0,Lakeside,0,6.1,2.0,277800
P096,1876,3,1.5,2010,0.57,2,Lakeside,1,7.6,1.9,387800
P097,1591,3,1.5,1990,0.38,1,Oakwood,0,7.3,0.9,268300
P098,3064,5,3.0,1999,0.14,0,Hilltop,0,9.5,2.6,503100
P099,1563,3,1.5,1996,0.26,1,Lakeside,0,6.4,0.6,279900
P100,3035,4,2.0,1995,0.7,2,Lakeside,0,5.3,3.4,532800
P101,1179,2,1.0,1983,0.87,2,Lakeside,0,7.3,6.4,290900
P102,1292,2,1.5,1990,0.29,0,Hilltop,0,9.7,1.3,230200
P103,3912,6,3.5,1965,0.3,1,Riverside,0,4.3,2.0,602600
P104,1980,3,2.0,1961,0.85,2,Riverside,0,6.4,1.5,370000
P105,2862,4,2.5,1979,0.37,2,Riverside,0,3.8,0.5,479300
P106,864,1,1.0,1987,0.11,2,Hilltop,1,13.0,1.5,251800
P107,3368,4,2.0,1970,0.83,1,Hilltop,0,12.4,3.6,548300
P108,2167,3,2.0,1963,0.19,2,Oakwood,0,8.8,2.3,354100
P109,1952,4,3.0,1974,0.36,1,Lakeside,1,6.6,0.7,401200
P110,2827,5,3.0,1965,0.15,2,Hilltop,0,10.6,4.3,502300
P111,3495,6,3.5,2013,0.11,2,Downtown,0,0.8,2.0,612900
P112,2295,3,2.0,2008,0.21,1,Downtown,0,1.9,4.2,425600
P113,3934,6,4.0,1989,0.55,1,Downtown,0,0.5,2.2,603300
P114,1962,3,1.5,2015,0.2,2,Oakwood,1,8.8,2.1,390600
P115,2322,3,2.0,1997,0.17,2,Oakwood,0,9.3,0.7,390500
P116,3440,5,3.0,2010,0.17,2,Oakwood,1,7.4,0.9,540800
P117,1191,2,1.0,2021,0.32,2,Oakwood,0,7.1,7.7,264300
P118,2498,5,3.0,2016,1.21,2,Downtown,0,0.5,1.0,502200
P119,1218,2,1.5,1961,0.28,2,Downtown,0,3.7,8.1,245300
P120,3136,4,3.0,1974,0.34,1,Oakwood,0,7.2,2.0,467200
P121,1178,2,1.5,1970,0.69,2,Hilltop,0,9.7,0.8,290500
P122,2596,4,2.5,1967,0.33,1,Riverside,1,6.0,0.7,414200
P123,3078,5,3.5,1985,0.16,1,Lakeside,1,6.4,1.0,548700
P124,3865,6,4.0,2010,0.21,3,Lakeside,0,7.1,5.7,659700
P125,2888,5,3.0,2004,0.21,0,Oakwood,1,7.4,1.6,466800
P126,3899,6,4.0,2003,0.25,1,Downtown,1,0.5,1.5,675900
P127,2982,5,3.0,1964,0.27,1,Oakwood,0,6.0,1.3,453700
P128,1000,1,1.0,1965,0.58,3,Downtown,0,0.6,0.8,264400
P129,2663,5,2.5,1985,0.23,0,Downtown,0,0.5,1.8,465700
P130,1579,2,1.0,2013,0.29,0,Oakwood,0,7.5,0.8,222200
P131,3777,6,3.5,1963,0.39,0,Downtown,0,3.5,4.1,618100
P132,3904,6,3.5,1978,0.24,0,Oakwood,0,7.4,1.4,540500
P133,3919,6,2.5,1979,0.64,0,Oakwood,1,7.4,1.4,643300
P134,1302,2,1.0,1992,0.37,1,Hilltop,0,10.0,1.8,325700
P135,3254,4,2.0,1979,0.2,2,Riverside,0,4.9,1.7,530900
P136,2551,4,2.5,2008,0.48,1,Downtown,1,1.4,11.0,420700
P137,1604,2,1.0,1971,0.33,1,Riverside,1,6.3,2.1,319300
P138,2946,5,4.0,2006,0.33,0,Lakeside,0,7.3,0.7,558900
P139,3531,6,4.0,1960,0.3,1,Oakwood,1,9.5,2.4,559400
P140,2695,5,3.0,1985,0.31,2,Downtown,0,4.6,0.8,483400
P141,3573,6,4.0,1973,0.53,2,Hilltop,0,10.9,0.6,597700
P142,2370,4,2.5,2023,0.13,0,Riverside,0,8.9,7.6,405900
P143,1760,4,2.5,1997,0.22,1,Lakeside,0,4.8,3.5,372200
P144,3460,5,3.0,1996,0.12,1,Hilltop,0,13.1,8.3,591400
P145,2285,4,2.5,2021,0.52,2,Hilltop,0,9.4,1.8,541000
P146,3490,6,3.5,1970,0.2,2,Hilltop,0,9.6,2.0,597600
P147,1828,4,2.5,2022,0.78,2,Lakeside,0,5.8,0.9,357800
P148,1302,2,2.0,1995,0.32,1,Lakeside,0,5.7,1.1,270800
P149,3614,6,3.5,1972,0.58,3,Hilltop,1,10.1,4.1,604400
P150,1197,2,1.0,2002,1.26,0,Hilltop,0,9.1,1.4,274700
P151,1670,3,1.0,1962,0.65,0,Oakwood,0,9.2,4.0,304000
P152,3642,6,4.0,1992,0.71,1,Oakwood,0,7.2,3.0,600600
P153,1192,2,1.0,1965,0.26,0,Downtown,0,2.5,0.9,218400
P154,1006,2,1.5,2009,0.34,3,Oakwood,0,10.3,1.9,283300
P155,1838,3,2.5,2015,0.19,2,Downtown,1,1.0,2.8,383600
P156,2681,5,3.0,1969,0.17,1,Oakwood,0,9.2,1.0,455600
P157,3739,6,3.5,1964,0.31,2,Riverside,0,6.3,4.1,601300
P158,2284,4,3.0,1982,0.37,3,Hilltop,0,13.4,2.1,467400
P159,1663,3,2.0,1969,0.22,2,Lakeside,0,5.2,0.9,285400
P160,3590,6,4.0,2003,0.35,2,Oakwood,0,9.2,2.2,580200
P161,1363,2,1.0,1961,0.76,3,Downtown,0,0.5,16.8,262500
P162,1820,4,3.0,1972,0.34,3,Lakeside,0,5.3,0.8,373600
P163,895,1,1.0,1999,0.48,2,Oakwood,0,8.5,3.9,205900
P164,2723,5,2.5,1961,0.59,0,Lakeside,0,8.1,1.0,418100
P165,2557,4,2.5,1979,1.45,1,Riverside,0,3.7,3.6,517600
P166,3332,5,2.5,1960,0.38,2,Riverside,1,6.7,3.2,541000
P167,3078,5,3.5,2022,0.59,1,Lakeside,1,5.9,1.2,568900
P168,3596,6,3.5,1996,1.09,2,Oakwood,1,5.7,1.3,649900
P169,2478,4,3.0,1968,0.97,0,Hilltop,0,10.3,3.6,432400
P170,1340,1,1.0,1976,0.15,0,Lakeside,0,8.6,1.7,223900
P171,1859,3,2.0,1968,0.26,1,Oakwood,0,6.3,3.1,282600
P172,3372,6,3.5,1970,0.22,0,Hilltop,0,9.8,0.8,592400
P173,1983,3,2.0,1974,0.13,3,Lakeside,0,4.5,4.3,341700
P174,2522,5,3.0,1983,0.4,2,Oakwood,0,7.3,3.0,437700
P175,3957,6,3.5,1997,0.5,2,Lakeside,0,8.1,5.2,666600
P176,2619,5,3.0,2014,0.67,2,Downtown,1,1.1,0.8,531100
P177,3425,6,3.0,1994,0.14,1,Downtown,0,3.6,2.3,548100
P178,3529,6,4.0,1989,0.73,2,Downtown,0,3.2,2.3,600800
P179,3404,6,3.5,1990,0.41,2,Riverside,0,5.0,1.4,560700
P180,2397,4,2.5,2008,0.47,2,Lakeside,1,5.2,1.7,475100
P181,3860,6,3.5,1964,0.82,1,Lakeside,0,4.7,0.6,624400
P182,3493,6,3.5,2021,0.39,2,Downtown,0,0.5,3.2,635200
P183,1595,3,2.5,2019,0.22,1,Hilltop,0,10.5,2.1,355600
P184,1851,3,2.5,2003,0.62,3,Downtown,0,1.5,0.6,340500
P185,2443,4,2.5,2009,0.24,2,Downtown,0,0.6,2.8,455400
P186,2163,4,2.5,1973,0.11,1,Hilltop,1,7.7,1.8,464300
P187,2781,5,3.0,2012,0.63,2,Downtown,0,1.7,0.6,554100
P188,2154,4,2.0,2015,0.23,2,Downtown,0,0.8,7.5,421700
P189,2463,4,2.0,1970,0.55,0,Hilltop,0,9.7,6.5,397100
P190,2329,3,1.5,1968,0.24,2,Downtown,0,2.0,1.9,407000
P191,2838,4,3.0,1993,0.69,2,Oakwood,0,4.2,0.7,501200
P192,2296,3,1.5,1971,0.17,1,Oakwood,0,5.7,3.3,338500
P193,3037,5,2.5,1994,1.2,1,Riverside,0,8.9,1.9,537400
P194,2208,3,2.0,1994,0.55,1,Hilltop,0,9.2,1.2,449700
P195,2200,4,2.5,1960,0.14,1,Downtown,0,0.5,1.9,355200
P196,2106,3,2.0,1999,0.35,0,Hilltop,0,7.8,2.0,352800
P197,3480,6,4.0,2023,1.37,2,Downtown,0,5.2,2.2,677200
P198,3475,5,3.0,1981,0.29,0,Downtown,1,0.5,1.7,579100
P199,1772,2,1.5,2019,0.16,1,Riverside,0,7.2,2.4,338300
P200,2568,4,2.0,2023,0.3,3,Downtown,0,1.7,5.5,496900
