order_id,order_date,buyer_id,buyer_region,listing_id,quantity,delivered_date
O0112,2024-09-10,B15,East,L001,2,2024-09-12
O0113,2024-09-11,B02,East,L016,2,2024-09-16
O0114,2024-09-11,B03,South,L018,3,2024-09-17
O0115,2024-09-11,B04,North,L020,1,2024-09-13
O0116,2024-09-11,B06,East,L004,3,2024-09-15
O0117,2024-09-11,B07,South,L006,1,2024-09-16
O0118,2024-09-11,B08,North,L008,2,2024-09-17
O0119,2024-09-11,B10,East,L012,1,2024-09-14
O0120,2024-09-11,B11,South,L014,2,2024-09-15
O0121,2024-09-11,B12,North,L016,3,2024-09-16
O0122,2024-09-11,B14,East,L020,2,2024-09-13
O0123,2024-09-11,B15,South,L002,3,2024-09-14
O0124,2024-09-12,B01,East,L015,2,2024-09-17
O0125,2024-09-12,B02,South,L017,3,2024-09-18
O0126,2024-09-12,B03,North,L019,1,2024-09-14
O0127,2024-09-12,B05,East,L003,3,2024-09-16
O0128,2024-09-12,B06,South,L005,1,2024-09-17
O0129,2024-09-12,B07,North,L007,2,2024-09-18
O0130,2024-09-12,B09,East,L011,1,2024-09-15
O0131,2024-09-12,B10,South,L013,2,2024-09-16
O0132,2024-09-12,B11,North,L015,3,2024-09-17
O0133,2024-09-12,B13,East,L019,2,2024-09-14
O0134,2024-09-12,B14,South,L001,3,2024-09-15
O0135,2024-09-12,B15,North,L003,1,2024-09-16
O0136,2024-09-13,B01,South,L016,3,2024-09-19
O0137,2024-09-13,B02,North,L018,1,2024-09-15
O0138,2024-09-13,B04,East,L002,3,2024-09-17
O0139,2024-09-13,B05,South,L004,1,2024-09-18
O0140,2024-09-13,B06,North,L006,2,2024-09-19
O0141,2024-09-13,B08,East,L010,1,2024-09-16
O0142,2024-09-13,B09,South,L012,2,2024-09-17
O0143,2024-09-13,B10,North,L014,3,2024-09-18
O0144,2024-09-13,B12,East,L018,2,2024-09-15
O0145,2024-09-13,B13,South,L020,3,2024-09-16
O0146,2024-09-13,B14,North,L002,1,2024-09-17
O0147,2024-09-14,B01,North,L017,1,2024-09-16
O0148,2024-09-14,B03,East,L001,3,2024-09-18
O0149,2024-09-14,B04,South,L003,1,2024-09-19
O0150,2024-09-14,B05,North,L005,2,2024-09-20
O0151,2024-09-14,B07,East,L009,1,2024-09-17
O0152,2024-09-14,B08,South,L011,2,2024-09-18
O0153,2024-09-14,B09,North,L013,3,2024-09-19
O0154,2024-09-14,B11,East,L017,2,2024-09-16
O0155,2024-09-14,B12,South,L019,3,2024-09-17
O0156,2024-09-14,B13,North,L001,1,2024-09-18
O0157,2024-09-14,B15,East,L005,3,2024-09-20
O0158,2024-09-15,B02,East,L020,3,2024-09-19
O0159,2024-09-15,B03,South,L002,1,2024-09-20
O0160,2024-09-15,B04,North,L004,2,2024-09-21
O0161,2024-09-15,B06,East,L008,1,2024-09-18
O0162,2024-09-15,B07,South,L010,2,2024-09-19
O0163,2024-09-15,B08,North,L012,3,2024-09-20
O0164,2024-09-15,B10,East,L016,2,2024-09-17
O0165,2024-09-15,B11,South,L018,3,2024-09-18
O0166,2024-09-15,B12,North,L020,1,2024-09-19
O0167,2024-09-15,B14,East,L004,3,2024-09-21
O0168,2024-09-15,B15,South,L006,1,2024-09-17
O0169,2024-09-16,B01,East,L019,3,2024-09-20
O0170,2024-09-16,B02,South,L001,1,2024-09-21
O0171,2024-09-16,B03,North,L003,2,2024-09-22
O0172,2024-09-16,B05,East,L007,1,2024-09-19
O0173,2024-09-16,B06,South,L009,2,2024-09-20
O0174,2024-09-16,B07,North,L011,3,2024-09-21
O0175,2024-09-16,B09,East,L015,2,2024-09-18
O0176,2024-09-16,B10,South,L017,3,2024-09-19
O0177,2024-09-16,B11,North,L019,1,2024-09-20
O0178,2024-09-16,B13,East,L003,3,2024-09-22
O0179,2024-09-16,B14,South,L005,1,2024-09-18
O0180,2024-09-16,B15,North,L007,2,2024-09-19
O0181,2024-09-17,B01,South,L020,1,2024-09-22
O0182,2024-09-17,B02,North,L002,2,2024-09-23
O0183,2024-09-17,B04,East,L006,1,2024-09-20
O0184,2024-09-17,B05,South,L008,2,2024-09-21
O0185,2024-09-17,B06,North,L010,3,2024-09-22
O0186,2024-09-17,B08,East,L014,2,2024-09-19
O0187,2024-09-17,B09,South,L016,3,2024-09-20
O0188,2024-09-17,B10,North,L018,1,2024-09-21
O0189,2024-09-17,B12,East,L002,3,2024-09-23
O0190,2024-09-17,B13,South,L004,1,2024-09-19
O0191,2024-09-17,B14,North,L006,2,2024-09-20
O0192,2024-09-18,B01,North,L001,2,2024-09-24
O0193,2024-09-18,B03,East,L005,1,2024-09-21
O0194,2024-09-18,B04,South,L007,2,2024-09-22
O0195,2024-09-18,B05,North,L009,3,2024-09-23
O0196,2024-09-18,B07,East,L013,2,2024-09-20
O0197,2024-09-18,B08,South,L015,3,2024-09-21
O0198,2024-09-18,B09,North,L017,1,2024-09-22
O0199,2024-09-18,B11,East,L001,3,2024-09-24
O0200,2024-09-18,B12,South,L003,1,2024-09-20
O0201,2024-09-18,B13,North,L005,2,2024-09-21
O0202,2024-09-18,B15,East,L009,1,2024-09-23
O0203,2024-09-19,B02,East,L004,1,2024-09-22
O0204,2024-09-19,B03,South,L006,2,2024-09-23
O0205,2024-09-19,B04,North,L008,3,2024-09-24
O0206,2024-09-19,B06,East,L012,2,2024-09-21
O0207,2024-09-19,B07,South,L014,3,2024-09-22
O0208,2024-09-19,B08,North,L016,1,2024-09-23
O0209,2024-09-19,B10,East,L020,3,2024-09-25
O0210,2024-09-19,B11,South,L002,1,2024-09-21
O0211,2024-09-19,B12,North,L004,2,2024-09-22
O0212,2024-09-19,B14,East,L008,1,2024-09-24
O0213,2024-09-19,B15,South,L010,2,2024-09-25
O0214,2024-09-20,B01,East,L003,1,2024-09-23
O0215,2024-09-20,B02,South,L005,2,2024-09-24
O0216,2024-09-20,B03,North,L007,3,2024-09-25
O0217,2024-09-20,B05,East,L011,2,2024-09-22
O0218,2024-09-20,B06,South,L013,3,2024-09-23
O0219,2024-09-20,B07,North,L015,1,2024-09-24
O0220,2024-09-20,B09,East,L019,3,2024-09-26
O0221,2024-09-20,B10,South,L001,1,2024-09-22
O0222,2024-09-20,B11,North,L003,2,2024-09-23
O0223,2024-09-20,B13,East,L007,1,2024-09-25
O0224,2024-09-20,B14,South,L009,2,2024-09-26
O0225,2024-09-20,B15,North,L011,3,2024-09-22
O0226,2024-09-21,B01,South,L004,2,2024-09-25
O0227,2024-09-21,B02,North,L006,3,2024-09-26
O0228,2024-09-21,B04,East,L010,2,2024-09-23
O0229,2024-09-21,B05,South,L012,3,2024-09-24
O0230,2024-09-21,B06,North,L014,1,2024-09-25
O0231,2024-09-21,B08,East,L018,3,2024-09-27
O0232,2024-09-21,B09,South,L020,1,2024-09-23
O0233,2024-09-21,B10,North,L002,2,2024-09-24
O0234,2024-09-21,B12,East,L006,1,2024-09-26
O0235,2024-09-21,B13,South,L008,2,2024-09-27
O0236,2024-09-21,B14,North,L010,3,2024-09-23
O0237,2024-09-22,B01,North,L005,3,2024-09-27
O0238,2024-09-22,B03,East,L009,2,2024-09-24
O0239,2024-09-22,B04,South,L011,3,2024-09-25
O0240,2024-09-22,B05,North,L013,1,2024-09-26
O0241,2024-09-22,B07,East,L017,3,2024-09-28
O0242,2024-09-22,B08,South,L019,1,2024-09-24
O0243,2024-09-22,B09,North,L001,2,2024-09-25
O0244,2024-09-22,B11,East,L005,1,2024-09-27
O0245,2024-09-22,B12,South,L007,2,2024-09-28
O0246,2024-09-22,B13,North,L009,3,2024-09-24
O0247,2024-09-22,B15,East,L013,2,2024-09-26
O0248,2024-09-23,B02,East,L008,2,2024-09-25
O0249,2024-09-23,B03,South,L010,3,2024-09-26
O0250,2024-09-23,B04,North,L012,1,2024-09-27
O0251,2024-09-23,B06,East,L016,3,2024-09-29
O0252,2024-09-23,B07,South,L018,1,2024-09-25
O0253,2024-09-23,B08,North,L020,2,2024-09-26
O0254,2024-09-23,B10,East,L004,1,2024-09-28
O0255,2024-09-23,B11,South,L006,2,2024-09-29
O0256,2024-09-23,B12,North,L008,3,2024-09-25
O0257,2024-09-23,B14,East,L012,2,2024-09-27
O0258,2024-09-23,B15,South,L014,3,2024-09-28
O0259,2024-09-24,B01,East,L007,2,2024-09-26
O0260,2024-09-24,B02,South,L009,3,2024-09-27
O0261,2024-09-24,B03,North,L011,1,2024-09-28
O0262,2024-09-24,B05,East,L015,3,2024-09-30
O0263,2024-09-24,B06,South,L017,1,2024-09-26
O0264,2024-09-24,B07,North,L019,2,2024-09-27
O0265,2024-09-24,B09,East,L003,1,2024-09-29
O0266,2024-09-24,B10,South,L005,2,2024-09-30
O0267,2024-09-24,B11,North,L007,3,2024-09-26
O0268,2024-09-24,B13,East,L011,2,2024-09-28
O0269,2024-09-24,B14,South,L013,3,2024-09-29
O0270,2024-09-24,B15,North,L015,1,2024-09-30
O0271,2024-09-25,B01,South,L008,3,2024-09-28
O0272,2024-09-25,B02,North,L010,1,2024-09-29
O0273,2024-09-25,B04,East,L014,3,2024-10-01
O0274,2024-09-25,B05,South,L016,1,2024-09-27
O0275,2024-09-25,B06,North,L018,2,2024-09-28
O0276,2024-09-25,B08,East,L002,1,2024-09-30
O0277,2024-09-25,B09,South,L004,2,2024-10-01
O0278,2024-09-25,B10,North,L006,3,2024-09-27
O0279,2024-09-25,B12,East,L010,2,2024-09-29
O0280,2024-09-25,B13,South,L012,3,2024-09-30
O0281,2024-09-25,B14,North,L014,1,2024-10-01
O0282,2024-09-26,B01,North,L009,1,2024-09-30
O0283,2024-09-26,B03,East,L013,3,2024-10-02
O0284,2024-09-26,B04,South,L015,1,2024-09-28
O0285,2024-09-26,B05,North,L017,2,2024-09-29
O0286,2024-09-26,B07,East,L001,1,2024-10-01
O0287,2024-09-26,B08,South,L003,2,2024-10-02
O0288,2024-09-26,B09,North,L005,3,2024-09-28
O0289,2024-09-26,B11,East,L009,2,2024-09-30
O0290,2024-09-26,B12,South,L011,3,2024-10-01
O0291,2024-09-26,B13,North,L013,1,2024-10-02
O0292,2024-09-26,B15,East,L017,3,2024-09-29
O0293,2024-09-27,B02,East,L012,3,2024-10-03
O0294,2024-09-27,B03,South,L014,1,2024-09-29
O0295,2024-09-27,B04,North,L016,2,2024-09-30
O0296,2024-09-27,B06,East,L020,1,2024-10-02
O0297,2024-09-27,B07,South,L002,2,2024-10-03
O0298,2024-09-27,B08,North,L004,3,2024-09-29
O0299,2024-09-27,B10,East,L008,2,2024-10-01
O0300,2024-09-27,B11,South,L010,3,2024-10-02
O0301,2024-09-27,B12,North,L012,1,2024-10-03
O0302,2024-09-27,B14,East,L016,3,2024-09-30
O0303,2024-09-27,B15,South,L018,1,2024-10-01
O0304,2024-09-28,B01,East,L011,3,2024-10-04
O0305,2024-09-28,B02,South,L013,1,2024-09-30
O0306,2024-09-28,B03,North,L015,2,2024-10-01
O0307,2024-09-28,B05,East,L019,1,2024-10-03
O0308,2024-09-28,B06,South,L001,2,2024-10-04
O0309,2024-09-28,B07,North,L003,3,2024-09-30
O0310,2024-09-28,B09,East,L007,2,2024-10-02
O0311,2024-09-28,B10,South,L009,3,2024-10-03
O0312,2024-09-28,B11,North,L011,1,2024-10-04
O0313,2024-09-28,B13,East,L015,3,2024-10-01
O0314,2024-09-28,B14,South,L017,1,2024-10-02
O0315,2024-09-28,B15,North,L019,2,2024-10-03
O0316,2024-09-29,B01,South,L012,1,2024-10-01
O0317,2024-09-29,B02,North,L014,2,2024-10-02
O0318,2024-09-29,B04,East,L018,1,2024-10-04
O0319,2024-09-29,B05,South,L020,2,2024-10-05
O0320,2024-09-29,B06,North,L002,3,2024-10-01
O0321,2024-09-29,B08,East,L006,2,2024-10-03
O0322,2024-09-29,B09,South,L008,3,2024-10-04
O0323,2024-09-29,B10,North,L010,1,2024-10-05
O0324,2024-09-29,B12,East,L014,3,2024-10-02
O0325,2024-09-29,B13,South,L016,1,2024-10-03
O0326,2024-09-29,B14,North,L018,2,2024-10-04
O0327,2024-09-30,B01,North,L013,2,2024-10-03
O0328,2024-09-30,B03,East,L017,1,2024-10-05
O0329,2024-09-30,B04,South,L019,2,2024-10-06
O0330,2024-09-30,B05,North,L001,3,2024-10-02
O0331,2024-09-30,B07,East,L005,2,2024-10-04
O0332,2024-09-30,B08,South,L007,3,2024-10-05
O0333,2024-09-30,B09,North,L009,1,2024-10-06
O0334,2024-09-30,B11,East,L013,3,2024-10-03
O0335,2024-09-30,B12,South,L015,1,2024-10-04
O0336,2024-09-30,B13,North,L017,2,2024-10-05
O0337,2024-09-30,B15,East,L001,1,2024-10-02
O0338,2024-10-01,B02,East,L016,1,2024-10-06
O0339,2024-10-01,B03,South,L018,2,2024-10-07
O0340,2024-10-01,B04,North,L020,3,2024-10-03
O0341,2024-10-01,B06,East,L004,2,2024-10-05
O0342,2024-10-01,B07,South,L006,3,2024-10-06
O0343,2024-10-01,B08,North,L008,1,2024-10-07
O0344,2024-10-01,B10,East,L012,3,2024-10-04
O0345,2024-10-01,B11,South,L014,1,2024-10-05
O0346,2024-10-01,B12,North,L016,2,2024-10-06
O0347,2024-10-01,B14,East,L020,1,2024-10-03
O0348,2024-10-01,B15,South,L002,2,2024-10-04
O0349,2024-10-02,B01,East,L015,1,2024-10-07
O0350,2024-10-02,B02,South,L017,2,2024-10-08
O0351,2024-10-02,B03,North,L019,3,2024-10-04
O0352,2024-10-02,B05,East,L003,2,2024-10-06
O0353,2024-10-02,B06,South,L005,3,2024-10-07
O0354,2024-10-02,B07,North,L007,1,2024-10-08
O0355,2024-10-02,B09,East,L011,3,2024-10-05
O0356,2024-10-02,B10,South,L013,1,2024-10-06
O0357,2024-10-02,B11,North,L015,2,2024-10-07
O0358,2024-10-02,B13,East,L019,1,2024-10-04
O0359,2024-10-02,B14,South,L001,2,2024-10-05
O0360,2024-10-02,B15,North,L003,3,2024-10-06
O0361,2024-10-03,B01,South,L016,2,2024-10-09
O0362,2024-10-03,B02,North,L018,3,2024-10-05
O0363,2024-10-03,B04,East,L002,2,2024-10-07
O0364,2024-10-03,B05,South,L004,3,2024-10-08
O0365,2024-10-03,B06,North,L006,1,2024-10-09
O0366,2024-10-03,B08,East,L010,3,2024-10-06
O0367,2024-10-03,B09,South,L012,1,2024-10-07
O0368,2024-10-03,B10,North,L014,2,2024-10-08
O0369,2024-10-03,B12,East,L018,1,2024-10-05
O0370,2024-10-03,B13,South,L020,2,2024-10-06
O0371,2024-10-03,B14,North,L002,3,2024-10-07
O0372,2024-10-04,B01,North,L017,3,2024-10-06
O0373,2024-10-04,B03,East,L001,2,2024-10-08
O0374,2024-10-04,B04,South,L003,3,2024-10-09
O0375,2024-10-04,B05,North,L005,1,2024-10-10
O0376,2024-10-04,B07,East,L009,3,2024-10-07
O0377,2024-10-04,B08,South,L011,1,2024-10-08
O0378,2024-10-04,B09,North,L013,2,2024-10-09
O0379,2024-10-04,B11,East,L017,1,2024-10-06
O0380,2024-10-04,B12,South,L019,2,2024-10-07
O0381,2024-10-04,B13,North,L001,3,2024-10-08
O0382,2024-10-04,B15,East,L005,2,2024-10-10
O0383,2024-10-05,B02,East,L020,2,2024-10-09
O0384,2024-10-05,B03,South,L002,3,2024-10-10
O0385,2024-10-05,B04,North,L004,1,2024-10-11
O0386,2024-10-05,B06,East,L008,3,2024-10-08
O0387,2024-10-05,B07,South,L010,1,2024-10-09
O0388,2024-10-05,B08,North,L012,2,2024-10-10
O0389,2024-10-05,B10,East,L016,1,2024-10-07
O0390,2024-10-05,B11,South,L018,2,2024-10-08
O0391,2024-10-05,B12,North,L020,3,2024-10-09
O0392,2024-10-05,B14,East,L004,2,2024-10-11
O0393,2024-10-05,B15,South,L006,3,2024-10-07
O0394,2024-10-06,B01,East,L019,2,2024-10-10
O0395,2024-10-06,B02,South,L001,3,2024-10-11
O0396,2024-10-06,B03,North,L003,1,2024-10-12
O0397,2024-10-06,B05,East,L007,3,2024-10-09
O0398,2024-10-06,B06,South,L009,1,2024-10-10
O0399,2024-10-06,B07,North,L011,2,2024-10-11
O0400,2024-10-06,B09,East,L015,1,2024-10-08
O0401,2024-10-06,B10,South,L017,2,2024-10-09
O0402,2024-10-06,B11,North,L019,3,2024-10-10
O0403,2024-10-06,B13,East,L003,2,2024-10-12
O0404,2024-10-06,B14,South,L005,3,2024-10-08
O0405,2024-10-06,B15,North,L007,1,2024-10-09
O0406,2024-10-07,B01,South,L020,3,2024-10-12
O0407,2024-10-07,B02,North,L002,1,2024-10-13
O0408,2024-10-07,B04,East,L006,3,2024-10-10
O0409,2024-10-07,B05,South,L008,1,2024-10-11
O0410,2024-10-07,B06,North,L010,2,2024-10-12
O0411,2024-10-07,B08,East,L014,1,2024-10-09
O0412,2024-10-07,B09,South,L016,2,2024-10-10
O0413,2024-10-07,B10,North,L018,3,2024-10-11
O0414,2024-10-07,B12,East,L002,2,2024-10-13
O0415,2024-10-07,B13,South,L004,3,2024-10-09
O0416,2024-10-07,B14,North,L006,1,2024-10-10
O0417,2024-10-08,B01,North,L001,1,2024-10-14
O0418,2024-10-08,B03,East,L005,3,2024-10-11
O0419,2024-10-08,B04,South,L007,1,2024-10-12
O0420,2024-10-08,B05,North,L009,2,2024-10-13
O0421,2024-10-08,B07,East,L013,1,2024-10-10
O0422,2024-10-08,B08,South,L015,2,2024-10-11
O0423,2024-10-08,B09,North,L017,3,2024-10-12
O0424,2024-10-08,B11,East,L001,2,2024-10-14
O0425,2024-10-08,B12,South,L003,3,2024-10-10
O0426,2024-10-08,B13,North,L005,1,2024-10-11
O0427,2024-10-08,B15,East,L009,3,2024-10-13
O0428,2024-10-09,B02,East,L004,3,2024-10-12
O0429,2024-10-09,B03,South,L006,1,2024-10-13
O0430,2024-10-09,B04,North,L008,2,2024-10-14
O0431,2024-10-09,B06,East,L012,1,2024-10-11
O0432,2024-10-09,B07,South,L014,2,2024-10-12
O0433,2024-10-09,B08,North,L016,3,2024-10-13
O0434,2024-10-09,B10,East,L020,2,2024-10-15
O0435,2024-10-09,B11,South,L002,3,2024-10-11
O0436,2024-10-09,B12,North,L004,1,2024-10-12
O0437,2024-10-09,B14,East,L008,3,2024-10-14
O0438,2024-10-09,B15,South,L010,1,2024-10-15
O0439,2024-10-10,B01,East,L003,3,2024-10-13
O0440,2024-10-10,B02,South,L005,1,2024-10-14
O0441,2024-10-10,B03,North,L007,2,2024-10-15
O0442,2024-10-10,B05,East,L011,1,2024-10-12
O0443,2024-10-10,B06,South,L013,2,2024-10-13
O0444,2024-10-10,B07,North,L015,3,2024-10-14
O0445,2024-10-10,B09,East,L019,2,2024-10-16
O0446,2024-10-10,B10,South,L001,3,2024-10-12
O0447,2024-10-10,B11,North,L003,1,2024-10-13
O0448,2024-10-10,B13,East,L007,3,2024-10-15
O0449,2024-10-10,B14,South,L009,1,2024-10-16
O0450,2024-10-10,B15,North,L011,2,2024-10-12
