week_start,employee_id,project_id,hours
2024-02-26,E13,P03,12
2024-02-26,E14,P02,11
2024-02-26,E15,P01,10
2024-02-26,E15,P06,13
2024-03-04,E01,P04,4
2024-03-04,E02,P03,15
2024-03-04,E03,P02,14
2024-03-04,E04,P01,13
2024-03-04,E04,P06,4
2024-03-04,E05,P05,15
2024-03-04,E06,P04,14
2024-03-04,E07,P03,13
2024-03-04,E08,P02,12
2024-03-04,E09,P01,11
2024-03-04,E09,P06,14
2024-03-04,E10,P05,13
2024-03-04,E11,P04,12
2024-03-04,E12,P03,11
2024-03-04,E13,P02,10
2024-03-04,E14,P01,9
2024-03-04,E14,P06,12
2024-03-04,E15,P05,11
2024-03-11,E01,P03,14
2024-03-11,E02,P02,13
2024-03-11,E03,P01,12
2024-03-11,E03,P06,15
2024-03-11,E04,P05,14
2024-03-11,E05,P04,13
2024-03-11,E06,P03,12
2024-03-11,E07,P02,11
2024-03-11,E08,P01,10
2024-03-11,E08,P06,13
2024-03-11,E09,P05,12
2024-03-11,E10,P04,11
2024-03-11,E11,P03,10
2024-03-11,E12,P02,9
2024-03-11,E13,P01,8
2024-03-11,E13,P06,11
2024-03-11,E14,P05,10
2024-03-11,E15,P04,9
2024-03-18,E01,P02,12
2024-03-18,E02,P01,11
2024-03-18,E02,P06,14
2024-03-18,E03,P05,13
2024-03-18,E04,P04,12
2024-03-18,E05,P03,11
2024-03-18,E06,P02,10
2024-03-18,E07,P01,9
2024-03-18,E07,P06,12
2024-03-18,E08,P05,11
2024-03-18,E09,P04,10
2024-03-18,E10,P03,9
2024-03-18,E11,P02,8
2024-03-18,E12,P01,7
2024-03-18,E12,P06,10
2024-03-18,E13,P05,9
2024-03-18,E14,P04,8
2024-03-18,E15,P03,7
2024-03-25,E01,P01,10
2024-03-25,E01,P06,13
2024-03-25,E02,P05,12
2024-03-25,E03,P04,11
2024-03-25,E04,P03,10
2024-03-25,E05,P02,9
2024-03-25,E06,P01,8
2024-03-25,E06,P06,11
2024-03-25,E07,P05,10
2024-03-25,E08,P04,9
2024-03-25,E09,P03,8
2024-03-25,E10,P02,7
2024-03-25,E11,P01,6
2024-03-25,E11,P06,9
2024-03-25,E12,P05,8
2024-03-25,E13,P04,7
2024-03-25,E14,P03,6
2024-03-25,E15,P02,5
