customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,num_support_tickets,has_online_backup,has_streaming,senior_citizen,partner,churned
C0119,64,90.71,6211.93,month-to-month,Fiber,2,1,1,0,0,1
C0120,4,68.39,314.15,month-to-month,None,1,1,0,0,0,1
C0121,18,64.42,1159.97,one-year,DSL,2,0,1,0,0,0
C0122,70,23.63,1509.86,month-to-month,Fiber,3,1,0,0,1,0
C0123,51,24.07,1262.42,one-year,DSL,4,1,1,0,0,0
C0124,3,53.28,165.79,month-to-month,Fiber,2,1,1,0,1,1
C0125,19,114.71,2289.38,month-to-month,DSL,3,0,1,0,0,1
C0126,47,81.77,3465.73,two-year,DSL,3,0,1,1,0,0
C0127,46,56.89,2929.96,month-to-month,None,2,1,0,0,1,0
C0128,58,81.2,4880.55,two-year,None,2,1,1,0,0,0
C0129,36,40.61,1261.77,one-year,Fiber,1,0,1,1,0,0
C0130,19,36.51,731.99,month-to-month,DSL,2,0,1,0,0,0
C0131,47,56.18,2399.72,month-to-month,DSL,2,0,0,0,0,1
C0132,55,106.34,5019.37,month-to-month,None,2,0,1,0,0,0
C0133,63,70.94,4537.54,one-year,Fiber,2,1,0,0,0,0
C0134,68,49.69,3696.52,two-year,Fiber,1,1,1,0,0,1
C0135,12,115.03,1529.41,one-year,DSL,2,1,1,0,0,0
C0136,27,101.6,2416.91,month-to-month,Fiber,3,1,1,0,1,1
C0137,11,52.3,603.44,month-to-month,Fiber,3,0,1,0,0,1
C0138,4,117.21,498.39,two-year,DSL,2,0,1,0,0,0
C0139,46,118.74,5125.33,month-to-month,DSL,0,0,0,0,0,1
C0140,59,60.87,4099.18,month-to-month,Fiber,1,1,1,0,1,1
C0141,60,85.59,4794.44,month-to-month,None,4,1,1,0,0,0
C0142,24,60.57,1266.15,two-year,DSL,4,0,1,0,1,0
C0143,26,45.73,1195.86,month-to-month,DSL,4,1,1,0,1,0
C0144,28,28.27,837.7,month-to-month,None,5,0,1,0,0,0
C0145,58,46.36,2482.91,month-to-month,None,2,1,0,0,1,0
C0146,4,47.15,179.47,month-to-month,Fiber,3,1,0,0,0,1
C0147,60,59.86,3660.16,month-to-month,None,0,1,0,0,0,0
C0148,49,38.49,2104.79,one-year,DSL,3,1,1,1,0,0
C0149,57,115.38,7064.63,one-year,DSL,0,0,0,0,0,0
C0150,5,30.29,138.26,month-to-month,DSL,1,1,1,0,0,0
C0151,70,82.52,5346.25,two-year,Fiber,4,0,0,0,0,0
C0152,57,64.17,3683.89,month-to-month,None,0,0,1,0,1,0
C0153,61,62.35,4110.23,month-to-month,Fiber,1,0,1,0,0,1
C0154,10,57.2,592.38,one-year,DSL,1,0,1,0,0,0
C0155,67,106.83,7160.45,one-year,Fiber,1,0,1,1,0,0
C0156,34,48.05,1681.3,month-to-month,Fiber,1,1,0,0,1,0
C0157,70,22.06,1662.82,one-year,DSL,2,1,0,0,1,0
C0158,10,111.81,1130.54,month-to-month,None,2,0,0,0,1,0
C0159,29,106.45,3455.41,two-year,None,3,1,1,0,1,0
C0160,67,47.69,3623.78,two-year,Fiber,0,0,1,0,1,0
C0161,11,72.35,895.02,month-to-month,DSL,1,1,1,0,1,0
C0162,4,30.91,133.08,month-to-month,Fiber,1,0,0,0,0,1
C0163,49,29.34,1328.25,one-year,None,0,0,1,0,0,0
C0164,4,103.75,400.72,month-to-month,Fiber,2,0,1,0,0,1
C0165,24,61.03,1368.05,two-year,Fiber,2,1,0,1,0,0
C0166,56,86.17,5053.76,month-to-month,Fiber,5,0,1,0,1,1
C0167,35,114.32,3790.2,one-year,None,3,1,1,1,0,0
C0168,38,44.51,1820.46,month-to-month,None,2,0,0,0,0,0
C0169,50,21.32,942.4,month-to-month,DSL,4,0,0,0,0,0
C0170,26,22.41,630.79,month-to-month,DSL,1,1,1,0,1,1
C0171,18,90.94,1679.1,month-to-month,DSL,1,1,1,0,0,0
C0172,59,112.46,7302.75,month-to-month,DSL,4,0,0,0,1,0
C0173,67,66.73,4378.2,month-to-month,DSL,0,0,1,1,1,1
C0174,46,57.51,2744.64,two-year,None,3,1,1,1,1,0
C0175,11,74.29,830.53,one-year,None,1,0,0,0,1,0
C0176,9,105.89,1089.01,one-year,DSL,3,1,1,0,1,1
C0177,26,85.22,2385.54,month-to-month,DSL,1,1,0,0,0,1
C0178,68,43.3,2983.98,month-to-month,None,1,1,0,0,1,0
C0179,66,97.46,5803.34,two-year,Fiber,1,0,0,0,0,0
C0180,8,33.46,300.13,one-year,DSL,0,0,1,0,1,0
C0181,71,36.56,2366.69,one-year,Fiber,2,1,0,1,1,0
C0182,40,81.27,3397.13,month-to-month,DSL,4,1,1,0,1,0
C0183,39,43.88,1935.4,month-to-month,None,3,1,0,1,0,0
C0184,6,90.48,497.86,month-to-month,DSL,2,1,0,0,0,1
C0185,10,54.95,504.32,month-to-month,None,3,1,1,0,1,1
C0186,41,47.74,2163.93,two-year,None,1,0,0,1,0,0
C0187,69,119.89,9085.56,month-to-month,Fiber,2,0,1,0,0,0
C0188,22,24.06,505.77,two-year,DSL,1,1,1,0,1,0
C0189,51,84.58,4009.6,one-year,Fiber,2,0,0,0,1,0
C0190,37,23.87,784.46,month-to-month,DSL,3,0,1,0,1,0
C0191,45,96.02,4953.4,two-year,None,1,0,1,0,1,0
C0192,62,43.01,2934.89,two-year,Fiber,3,0,1,0,0,0
C0193,15,28.98,486.78,month-to-month,None,1,0,0,0,1,0
C0194,24,84.84,2044.52,month-to-month,DSL,3,1,1,0,1,0
C0195,63,93.26,5195.69,one-year,Fiber,0,1,0,0,0,1
C0196,29,87.81,2204.69,month-to-month,Fiber,0,0,1,0,0,1
C0197,25,25.19,597.74,one-year,DSL,0,0,0,0,1,0
C0198,16,49.43,890.61,month-to-month,Fiber,3,1,1,0,1,1
C0199,50,65.11,3692.63,month-to-month,Fiber,0,0,1,0,1,1
C0200,5,48.71,268.48,two-year,DSL,1,1,1,0,0,0
C0201,22,101.05,1995.46,month-to-month,Fiber,3,0,1,0,1,1
C0202,33,33.11,1066.38,one-year,Fiber,0,1,0,0,0,1
C0203,40,81.22,3001.48,month-to-month,Fiber,3,0,0,0,1,1
C0204,2,118.82,216.63,month-to-month,None,2,0,1,0,1,0
C0205,36,110.26,4189.45,month-to-month,None,1,0,1,0,0,0
C0206,59,42.22,2480.6,one-year,DSL,3,1,1,0,0,0
C0207,39,20.01,739.4,month-to-month,None,1,0,1,0,0,0
C0208,2,118.06,207.8,month-to-month,Fiber,3,1,0,0,0,1
C0209,53,108.27,5815.37,one-year,DSL,3,0,1,0,1,0
C0210,18,111.95,1922.62,month-to-month,None,4,0,0,0,0,1
C0211,46,61.55,2738.8,one-year,None,1,0,1,0,1,0
C0212,23,94.46,2049.07,month-to-month,None,2,1,1,1,1,0
C0213,54,41.28,2153.68,month-to-month,None,1,1,1,1,1,0
C0214,1,59.23,60.22,one-year,None,2,1,0,0,0,0
C0215,36,105.15,3233.65,month-to-month,DSL,3,0,0,1,1,1
C0216,72,32.76,2604.72,month-to-month,None,1,0,1,0,1,0
C0217,40,109.39,4929.45,month-to-month,DSL,3,0,1,0,0,1
C0218,30,69.65,2121.17,month-to-month,None,3,0,0,0,0,1
C0219,20,62.61,1165.05,month-to-month,Fiber,0,0,0,0,0,1
C0220,38,50.56,2203.85,month-to-month,None,3,0,1,0,1,0
C0221,2,111.68,215.53,one-year,DSL,3,0,0,0,1,1
C0222,6,71.76,455.57,one-year,Fiber,3,1,1,0,0,1
C0223,36,100.4,3820.37,one-year,None,2,1,1,0,1,0
C0224,26,105.77,2695.82,two-year,DSL,1,0,1,0,0,0
C0225,71,112.24,7249.81,month-to-month,None,2,0,0,0,0,0
C0226,59,50.34,3385.79,month-to-month,None,0,1,1,0,1,0
C0227,30,53.98,1407.43,month-to-month,Fiber,2,1,1,0,1,1
C0228,22,79.51,1741.43,two-year,Fiber,5,0,0,0,1,0
C0229,17,64.13,998.87,one-year,DSL,3,0,0,0,1,0
C0230,31,113.28,3294.63,one-year,Fiber,1,1,0,0,1,0
C0231,56,59.76,3676.39,month-to-month,DSL,3,0,1,0,0,1
C0232,31,67.78,2017.51,month-to-month,Fiber,3,1,1,0,1,1
C0233,13,81.72,929.57,one-year,Fiber,3,0,1,0,0,1
C0234,17,60.47,934.33,month-to-month,Fiber,3,1,1,0,1,1
C0235,39,119.25,5153.55,month-to-month,DSL,2,0,1,0,0,1
C0236,8,29.89,273.34,one-year,None,0,1,0,0,0,0
C0237,38,42.06,1487.03,one-year,Fiber,1,0,1,0,0,0
C0238,15,52.27,825.31,one-year,DSL,2,1,1,0,0,0
C0239,1,34.77,30.4,month-to-month,None,1,1,1,0,0,1
C0240,3,48.42,155.0,month-to-month,None,1,0,1,0,1,1
C0241,38,97.92,3627.68,month-to-month,Fiber,3,1,0,0,0,1
C0242,48,72.29,3905.21,month-to-month,Fiber,2,1,0,0,1,1
C0243,63,23.4,1390.85,month-to-month,DSL,1,1,1,0,1,0
C0244,62,118.26,8303.19,month-to-month,None,2,1,1,1,0,0
C0245,15,81.6,1225.19,one-year,DSL,1,1,1,0,1,0
C0246,62,25.89,1532.41,one-year,DSL,1,0,0,0,0,0
C0247,38,86.12,3416.9,one-year,DSL,0,1,1,1,0,0
C0248,20,57.84,1069.95,month-to-month,None,2,0,1,0,1,0
C0249,59,33.57,1820.06,two-year,Fiber,0,0,1,0,0,0
C0250,7,76.37,485.89,one-year,None,3,1,1,0,0,0
C0251,72,92.71,7596.09,two-year,DSL,2,1,0,0,1,0
C0252,71,87.11,6171.66,two-year,None,2,0,0,0,0,0
C0253,52,44.75,2502.65,one-year,Fiber,0,1,0,1,0,0
C0254,4,72.49,287.7,two-year,Fiber,1,0,1,0,1,0
C0255,1,73.77,75.71,two-year,DSL,4,0,1,0,0,0
C0256,38,91.68,3571.78,month-to-month,Fiber,4,1,1,1,1,0
C0257,53,55.99,3394.68,one-year,DSL,1,0,1,0,0,0
C0258,3,99.77,314.43,two-year,Fiber,1,1,0,0,1,0
C0259,15,82.79,1144.9,month-to-month,Fiber,2,1,1,0,1,1
C0260,3,23.83,61.09,one-year,Fiber,0,1,0,0,0,0
C0261,33,74.65,2255.55,month-to-month,Fiber,2,0,1,0,0,0
C0262,56,106.19,5867.29,two-year,None,2,1,1,0,1,0
C0263,33,76.76,2452.09,one-year,DSL,2,0,1,0,0,0
C0264,31,37.58,1274.14,month-to-month,DSL,0,1,1,1,0,1
C0265,4,71.04,308.5,month-to-month,Fiber,1,0,0,0,1,1
C0266,22,95.69,1845.67,two-year,Fiber,3,1,1,0,1,0
C0267,31,31.01,1091.67,month-to-month,Fiber,0,1,1,0,0,0
C0268,60,101.71,6152.87,two-year,None,1,0,0,0,1,0
C0269,32,36.75,1210.01,month-to-month,Fiber,6,0,1,0,1,1
C0270,71,73.41,5063.65,two-year,None,2,0,1,0,1,0
C0271,8,58.57,489.58,month-to-month,DSL,0,0,1,0,0,0
C0272,62,44.86,3091.15,two-year,Fiber,4,1,0,1,0,0
C0273,28,84.74,2496.53,one-year,Fiber,0,0,1,1,0,0
C0274,66,23.74,1787.81,two-year,DSL,2,1,0,0,1,0
C0275,17,96.0,1730.47,month-to-month,DSL,3,1,1,1,0,1
C0276,2,72.69,159.41,one-year,DSL,1,0,0,0,0,1
C0277,8,107.58,743.17,month-to-month,Fiber,0,0,1,0,0,1
C0278,38,72.07,2880.55,month-to-month,Fiber,3,1,0,0,0,0
C0279,20,23.5,491.82,month-to-month,Fiber,4,1,1,0,0,0
C0280,64,34.36,1936.31,month-to-month,DSL,1,0,0,1,1,1
C0281,21,99.56,2305.52,month-to-month,DSL,3,0,1,0,0,0
C0282,31,69.2,2218.68,month-to-month,None,1,1,0,0,1,0
C0283,70,64.19,3951.85,month-to-month,DSL,3,0,1,0,0,0
C0284,15,51.84,799.64,month-to-month,None,2,0,1,0,0,0
C0285,57,48.45,2743.77,one-year,Fiber,2,1,1,0,1,0
C0286,1,116.59,107.26,month-to-month,Fiber,2,1,0,0,0,0
C0287,29,63.3,1571.22,month-to-month,Fiber,4,1,1,0,0,0
C0288,66,108.4,6865.86,month-to-month,DSL,0,1,1,0,0,0
C0289,22,84.82,1933.13,one-year,Fiber,2,1,1,0,1,0
C0290,61,105.84,6125.58,two-year,None,4,0,1,0,0,0
C0291,29,105.24,2875.48,month-to-month,Fiber,4,0,0,0,0,1
C0292,9,115.63,1119.07,month-to-month,Fiber,1,1,0,0,1,1
C0293,41,89.79,3967.02,month-to-month,Fiber,2,1,1,0,1,0
C0294,21,100.54,2249.91,month-to-month,DSL,2,0,0,0,0,1
C0295,55,93.31,4518.02,month-to-month,Fiber,2,1,1,0,0,1
C0296,40,80.52,3236.42,month-to-month,Fiber,1,0,1,0,0,1
C0297,26,91.74,2426.6,month-to-month,DSL,0,0,1,0,0,1
C0298,48,91.58,4718.68,month-to-month,DSL,1,0,1,1,1,1
C0299,3,24.09,81.01,month-to-month,DSL,3,1,1,0,1,0
C0300,33,71.61,2270.29,month-to-month,Fiber,4,0,1,0,0,1
