trip_id,trip_date,user_id,start_station,end_station,start_hour,duration_min,rider_type
T0106,2024-04-11,U09,S03,S02,14,24,casual
T0107,2024-04-11,U11,S05,S04,20,6,casual
T0108,2024-04-11,U12,S06,S05,23,17,member
T0109,2024-04-11,U14,S02,S01,5,39,member
T0110,2024-04-11,U15,S03,S02,8,10,casual
T0111,2024-04-12,U01,S02,S02,15,17,casual
T0112,2024-04-12,U02,S03,S03,18,29,member
T0113,2024-04-12,U04,S05,S05,0,13,member
T0114,2024-04-12,U05,S06,S06,3,25,casual
T0115,2024-04-12,U07,S02,S02,9,9,casual
T0116,2024-04-12,U08,S03,S03,12,21,member
T0117,2024-04-12,U10,S05,S05,18,5,member
T0118,2024-04-12,U11,S06,S06,21,17,casual
T0119,2024-04-12,U13,S02,S02,3,41,casual
T0120,2024-04-12,U14,S03,S03,6,13,member
T0121,2024-04-13,U01,S03,S04,16,18,casual
T0122,2024-04-13,U03,S05,S06,22,44,casual
T0123,2024-04-13,U04,S06,S01,1,17,member
T0124,2024-04-13,U06,S02,S03,7,43,member
T0125,2024-04-13,U07,S03,S04,10,16,casual
T0126,2024-04-13,U09,S05,S06,16,42,casual
T0127,2024-04-13,U10,S06,S01,19,15,member
T0128,2024-04-13,U12,S02,S03,1,41,member
T0129,2024-04-13,U13,S03,S04,4,14,casual
T0130,2024-04-13,U15,S05,S06,10,40,casual
T0131,2024-04-14,U02,S05,S01,20,33,member
T0132,2024-04-14,U03,S06,S02,23,7,casual
T0133,2024-04-14,U05,S02,S04,5,35,casual
T0134,2024-04-14,U06,S03,S05,8,9,member
T0135,2024-04-14,U08,S05,S01,14,37,member
T0136,2024-04-14,U09,S06,S02,17,11,casual
T0137,2024-04-14,U11,S02,S04,23,39,casual
T0138,2024-04-14,U12,S03,S05,2,13,member
T0139,2024-04-14,U14,S05,S01,8,41,member
T0140,2024-04-14,U15,S06,S02,11,15,casual
T0141,2024-04-15,U01,S05,S02,18,20,casual
T0142,2024-04-15,U02,S06,S03,21,35,member
T0143,2024-04-15,U04,S02,S05,3,25,member
T0144,2024-04-15,U05,S03,S06,6,40,casual
T0145,2024-04-15,U07,S05,S02,12,30,casual
T0146,2024-04-15,U08,S06,S03,15,5,member
T0147,2024-04-15,U10,S02,S05,21,35,member
T0148,2024-04-15,U11,S03,S06,0,10,casual
T0149,2024-04-15,U13,S05,S02,6,40,casual
T0150,2024-04-15,U14,S06,S03,9,15,member
T0151,2024-04-16,U01,S06,S04,19,21,casual
T0152,2024-04-16,U03,S02,S06,1,13,casual
T0153,2024-04-16,U04,S03,S01,4,29,member
T0154,2024-04-16,U06,S05,S03,10,21,member
T0155,2024-04-16,U07,S06,S04,13,37,casual
T0156,2024-04-16,U09,S02,S06,19,29,casual
T0157,2024-04-16,U10,S03,S01,22,5,member
T0158,2024-04-16,U12,S05,S03,4,37,member
T0159,2024-04-16,U13,S06,S04,7,13,casual
T0160,2024-04-16,U15,S02,S06,13,5,casual
T0161,2024-04-17,U02,S02,S01,23,39,member
T0162,2024-04-17,U03,S03,S02,2,16,casual
T0163,2024-04-17,U05,S05,S04,8,10,casual
T0164,2024-04-17,U06,S06,S05,11,27,member
T0165,2024-04-17,U08,S02,S01,17,21,member
T0166,2024-04-17,U09,S03,S02,20,38,casual
T0167,2024-04-17,U11,S05,S04,2,32,casual
T0168,2024-04-17,U12,S06,S05,5,9,member
T0169,2024-04-17,U14,S02,S01,11,43,member
T0170,2024-04-17,U15,S03,S02,14,20,casual
T0171,2024-04-18,U01,S02,S02,21,23,casual
T0172,2024-04-18,U02,S03,S03,0,41,member
T0173,2024-04-18,U04,S05,S05,6,37,member
T0174,2024-04-18,U05,S06,S06,9,15,casual
T0175,2024-04-18,U07,S02,S02,15,11,casual
T0176,2024-04-18,U08,S03,S03,18,29,member
T0177,2024-04-18,U10,S05,S05,0,25,member
T0178,2024-04-18,U11,S06,S06,3,43,casual
T0179,2024-04-18,U13,S02,S02,9,39,casual
T0180,2024-04-18,U14,S03,S03,12,17,member
T0181,2024-04-19,U01,S03,S04,22,24,casual
T0182,2024-04-19,U03,S05,S06,4,22,casual
T0183,2024-04-19,U04,S06,S01,7,41,member
T0184,2024-04-19,U06,S02,S03,13,39,member
T0185,2024-04-19,U07,S03,S04,16,18,casual
T0186,2024-04-19,U09,S05,S06,22,16,casual
T0187,2024-04-19,U10,S06,S01,1,35,member
T0188,2024-04-19,U12,S02,S03,7,33,member
T0189,2024-04-19,U13,S03,S04,10,12,casual
T0190,2024-04-19,U15,S05,S06,16,10,casual
T0191,2024-04-20,U02,S05,S01,2,5,member
T0192,2024-04-20,U03,S06,S02,5,25,casual
T0193,2024-04-20,U05,S02,S04,11,25,casual
T0194,2024-04-20,U06,S03,S05,14,5,member
T0195,2024-04-20,U08,S05,S01,20,5,member
T0196,2024-04-20,U09,S06,S02,23,25,casual
T0197,2024-04-20,U11,S02,S04,5,25,casual
T0198,2024-04-20,U12,S03,S05,8,5,member
T0199,2024-04-20,U14,S05,S01,14,5,member
T0200,2024-04-20,U15,S06,S02,17,25,casual
T0201,2024-04-21,U01,S05,S02,0,26,casual
T0202,2024-04-21,U02,S06,S03,3,7,member
T0203,2024-04-21,U04,S02,S05,9,9,member
T0204,2024-04-21,U05,S03,S06,12,30,casual
T0205,2024-04-21,U07,S05,S02,18,32,casual
T0206,2024-04-21,U08,S06,S03,21,13,member
T0207,2024-04-21,U10,S02,S05,3,15,member
T0208,2024-04-21,U11,S03,S06,6,36,casual
T0209,2024-04-21,U13,S05,S02,12,38,casual
T0210,2024-04-21,U14,S06,S03,15,19,member
